latitude|longitude|altitude.ft|fault|geology
28.63811|34.798061|257|200|sand
28.603468|34.810458|1652|100|alkaline,granite,sand
28.575879|34.844785|924|100|alkaline,sandstone
28.620362|34.876969|1815|1000|alkaline
28.560586|34.990046|1408|100|granite,volcanic
28.602789|34.992551|2640|1000|volcanic
28.488311|34.976893|956|200|gypsum
28.572316|34.807835|1312|500|alkaline
28.438361|34.786616|595|1000|gypsum
28.553648|34.903739|2291|200|volcanic,sandstone
28.651337|34.876725|3168|200|alkaline,granite
28.584441|35.186706|2307|500|granite
28.512148|34.957213|1089|2000|gypsum
28.448275|34.93563|864|2000|gypsum
28.625897|35.051013|1494|1000|volcanic
28.612935|35.218209|2284|200|alkaline,volcanic,granite
28.54015|35.065537|1167|400|gypsum,sandstone
29.248557|35.017044|1032|8000|sand
29.235329|34.969706|279|700|sand
29.291152|34.977884|403|500|sand
29.336922|34.981922|552|1000|sand
29.319727|35.032035|1245|6000|sand
29.24509|35.185575|2831|200|alkaline,granite
